id,lat,lon
276009026302167,49.27821,6.79313
276009024219414,49.35283,6.72344
276009024221815,49.26997,6.79325
276009026292460,49.446,6.62601
276009026302631,49.50543,6.53188
276009026306339,49.26978,6.78353
276009025356859,49.5061,6.7453
276009024223953,49.26858,6.79128
276009025521799,49.44312,6.65025
276009024216539,49.25297,6.73159
276009026294968,49.315,6.739
276009026290706,49.24369,6.69862
276009026306556,49.32907,6.71565
276009026303179,49.32332,6.75038
276009025375454,49.44611,6.62555
276009024223038,49.29065,6.75899
276009024223529,49.31555,6.75146
276009026303359,49.34709,6.71575
276009026294574,49.44417,6.64861
276009025517110,49.32526,6.76884
276009026303702,49.24399,6.70395
276009024225305,49.31603,6.73916
276009024813850,49.18409,6.73873
276009024215573,49.3544,6.72738
276009026293548,49.32026,6.74704
276009024215790,49.35305,6.73057
276009024219967,49.33537,6.77055
276009023568517,49.32506,6.75154
276009026290841,49.50543,6.53188
276009026304785,49.44113,6.63353
276009024813802,49.504,6.53231
276009026289165,49.44417,6.64861
276009025357906,49.43723,6.63516
276009024219410,49.31726,6.75529
276009026287941,49.47586,6.605
276009024216967,49.23697,6.77392
276009023967390,49.31975,6.74618
276009024222642,49.38647,6.69042
276009026295167,49.24369,6.69862
276009024220468,49.44111,6.63896
276009026306641,49.3796,6.78653
276009026290390,49.25063,6.69801
276009026296213,49.313,6.754
276009026303839,49.44192,6.63363
276009026303023,49.34709,6.71575
276009026305861,49.32997,6.74761
276009025519572,49.32415,6.75005
276009025518066,49.32997,6.74761
276009026306308,49.35997,6.76733
276009026295238,49.29158,6.77978
276009024216009,49.26841,6.7891
276009023646527,49.31406,6.75519
276009025522216,49.27061,6.79171
276009026306246,49.31558,6.73922
276009026305214,49.38719,6.69168
276009025521897,49.49115,6.59395
276009026306955,49.329,6.747
276009023649934,49.32965,6.74641
276009024225932,49.36033,6.71468
276009026294079,49.49758,6.59646
276009025521912,49.28694,6.72954
276009026306895,49.23802,6.98963
276009025377232,49.23881,6.99757
276009026295154,49.23662,6.94084
276009025516850,49.16537,7.09082
276009023976103,49.20754,6.96718
276009024816012,49.24292,6.99073
